"","linenumber","sentiment","method","text","created_at","favorite_count","retweet_count","date"
"70",70,0,"AFINN","Prepare today and stay informed as #Dorian approaches. 

✅ Follow @Readygov for information on how to prepare and visit https://t.co/YbTCtJCzgd

📲 Download the FEMA app to get hurricane safety tips, set @NWS weather alerts &amp; look up shelters: https://t.co/Tsw9BL56io",2019-08-30 16:30:02,0,4161,"2019-08-30"
"71",71,-1,"AFINN","Watch as the eye of #HurricaneDorian2019 begins to form in this 1-minute visible loop from NOAA's #GOESEast. ""Dangerous Hurricane #Dorian poses a significant threat to #Florida and the northwestern #Bahamas,"" according to the @NHC_Atlantic. Latest: https://t.co/W7u6rft9x2 https://t.co/AuDJst6smv",2019-08-30 16:29:47,0,6461,"2019-08-30"
"72",72,-13,"AFINN","If the Fed would cut, we would have one of the biggest Stock Market increases in a long time. Badly run and weak companies are smartly blaming these small Tariffs instead of themselves for bad management...and who can really blame them for doing that? Excuses!",2019-08-30 14:10:13,59008,14231,"2019-08-30"
"73",73,-5,"AFINN","....We don’t have a Tariff problem (we are reigning in bad and/or unfair players), we have a Fed problem. They don’t have a clue!",2019-08-30 13:55:41,53916,11822,"2019-08-30"
"74",74,2,"AFINN","The Euro is dropping against the Dollar “like crazy,” giving them a big export and manufacturing advantage...and the Fed does NOTHING! Our Dollar is now the strongest in history. Sounds good, doesn’t it? Except to those (manufacturers) that make product for sale outside the U.S.",2019-08-30 13:55:41,65000,14629,"2019-08-30"
"75",75,NA,NA,"https://t.co/Ldpr6vjGdp",2019-08-30 13:55:00,33409,11147,"2019-08-30"
"76",76,-3,"AFINN","Bryan Dean Wright, former CIA Officer(Dem): “In 2016 we had a Coup. We have to take Comey and others to task. Makes no sense not to prosecute him. Comey got a book deal. I fear for my Country. He tried to kneecap our duly elected president, and there are no consequences.” @fox&amp;Fs",2019-08-30 13:17:25,60145,18687,"2019-08-30"
"77",77,0,"AFINN","The fact that James Comey was not prosecuted for the absolutely horrible things he did just shows how fair and reasonable Attorney General Bill Barr is. So many people and experts that I have watched and read would have taken an entirely different course. Comey got Lucky!",2019-08-30 12:54:41,69103,15919,"2019-08-30"
"78",78,-5,"AFINN","The disastrous IG Report on James Comey shows, in the strongest of terms, how unfairly I, and tens of millions of great people who support me, were treated. Our rights and liberties were illegally stripped away by this dishonest fool. We should be given our stolen time back?",2019-08-30 12:28:19,103792,26445,"2019-08-30"
"79",79,1,"AFINN","WATCH: Club for Growth president David McIntosh defends his organization's support for President Trump despite the trade war with China. #MTP #IfItsSunday

@DavidMMcintosh: ""The tariffs are attacks on the American people."" https://t.co/KhM3s8wM72",2019-08-30 12:15:54,0,4526,"2019-08-30"
"80",80,2,"AFINN",". @chucktodd asks: How could you say Trump is a free-market conservative as he issues tariffs?

@DavidMMcintosh: ""What we like about President Trump's vision on trade is his goal of 0-0 tariffs. ... These tariffs are his way of forcing China to come to the table."" #MTP",2019-08-30 12:15:43,0,4609,"2019-08-30"
"81",81,10,"AFINN","Agreed, @SenTedCruz &amp; @taxreformer. We’re not tired of all this winning. @realdonaldtrump should boost our already winning economy by indexing capital gains to inflation.

Great read via @rc_markets: https://t.co/Q6eHxFznum",2019-08-30 12:12:09,0,4256,"2019-08-30"
"82",82,0,"AFINN","An idea liked by many? https://t.co/Ev9uqa1hoj",2019-08-30 12:11:36,29156,6721,"2019-08-30"
"83",83,0,"AFINN","General Motors, which was once the Giant of Detroit, is now one of the smallest auto manufacturers there. They moved major plants to China, BEFORE I CAME INTO OFFICE. This was done despite the saving help given them by the USA. Now they should start moving back to America again?",2019-08-30 12:06:41,78876,17186,"2019-08-30"
"84",84,NA,NA,"https://t.co/ufd7tsGyAx",2019-08-29 23:49:11,74322,19298,"2019-08-29"
"85",85,-4,"AFINN","There's an increasing chance for #Dorian to bring a triple-threat of dangers to the Florida east coast...

🌊life-threatening storm surge
🌬️devastating hurricane-force winds
🌧️heavy rains

The onset of tropical storm force winds could be as soon as Saturday evening.
Prepare NOW. https://t.co/Moes49tcyu",2019-08-29 22:18:40,0,8092,"2019-08-29"
"86",86,0,"AFINN","Establishment of the U.S. Space Command! https://t.co/NQkxxw910S",2019-08-29 20:40:01,53560,14575,"2019-08-29"
"87",87,-4,"AFINN","Perhaps never in the history of our Country has someone been more thoroughly disgraced and excoriated than James Comey in the just released Inspector General’s Report. He should be ashamed of himself!",2019-08-29 18:05:09,122541,30965,"2019-08-29"
"88",88,5,"AFINN","The Farmers are going to be so happy when they see what we are doing for Ethanol, not even including the E-15, year around, which is already done. It will be a giant package, get ready! At the same time I was able to save the small refineries from certain closing. Great for all!",2019-08-29 13:19:47,81729,18423,"2019-08-29"
"89",89,0,"AFINN","The Economy is doing GREAT, with tremendous upside potential! If the Fed would do what they should, we are a Rocket upward!",2019-08-29 13:05:22,65358,15150,"2019-08-29"
"90",90,-14,"AFINN","The totally inaccurate reporting by Lawrence O’Donnell, for which he has been forced by NBC to apologize, is NO DIFFERENT than the horrible, corrupt and fraudulent Fake News that I (and many millions of GREAT supporters) have had to put up with for years. So bad for the USA!",2019-08-29 11:47:57,97740,23732,"2019-08-29"
"91",91,-3,"AFINN","....for the most ridiculous claim of all, that Russia, Russia, Russia, or Russian oligarchs, co-signed loan documents for me, a guarantee. Totally false, as is virtually everything else he, and much of the rest of the LameStream Media, has said about me for years. ALL APOLOGIZE!",2019-08-29 11:31:42,81745,16590,"2019-08-29"
"92",92,-10,"AFINN","Crazy Lawrence O’Donnell, who has been calling me wrong from even before I announced my run for the Presidency, even being previously forced by NBC to apologize, which he did while crying, for things he said about me &amp; The Apprentice, was again forced to apologize, this time.....",2019-08-29 11:31:42,85945,17771,"2019-08-29"
"93",93,1,"AFINN","Hurricane Dorian looks like it will be hitting Florida late Sunday night. Be prepared and please follow State and Federal instructions, it will be a very big Hurricane, perhaps one of the biggest!",2019-08-29 11:03:38,59459,14184,"2019-08-29"
